id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
629758,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",around 13 dollars,Back to the Future Part 2,diet coke,"Friends,Strangers",,Pizza
491374,2,3-20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10-30 Canadian dollars,Spider Man,Coca-Cola,Friends,,Pizza
632051,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",,Pizza
409930,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 to $20,"any kind really, probably something more relaxed for leisure",water,"Parents,Siblings,Friends",,Pizza
632975,2,5,"Week day lunch,Weekend lunch,At a party",4,Monster House,Coke,"Siblings,Friends",A little (mild),Pizza
407221,3,5,"Week day lunch,At a party",$25 ,Spiderman,Pepsi,Friends,A lot (hot),Pizza
204508,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Cloudy with a Chance of Meatballs,sprite,Friends,,Pizza
618700,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,the godfather,soda,Friends,A little (mild),Pizza
627792,3,At least three ingredients.,"Weekend lunch,Weekend dinner,At a party",5 CAD.,Spider-man 2.,Pepsi.,"Siblings,Friends",,Pizza
712054,3,3,"Week day dinner,At a party",$16 ,Harry Potter,Coke,Friends,,Pizza
631881,2,Around 5–10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2 – $5,Home alone because Kevin orders an entire one for himself.,"Soda (i.e. Coke, Pepsi, etc.)",Friends,,Pizza
628744,3,6+,"Week day lunch,Weekend lunch,At a party,Late night snack",$10-20,TNMT,Coca Cola,"Friends,Teachers",A little (mild),Pizza
741428,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,,Pepsi,Friends,,Pizza
631221,3,I would expect between 3 and 6 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay $4 for one slice of pizza.,Cloudy With a Chance of Meatballs,A soda,Friends,,Pizza
601983,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Parents,Siblings",A little (mild),Pizza
603007,2,"Flower, Yeast, Water, Olive Oil, Tomato, herbs, cheese, pepperoni.
8 Ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Teenage Mutant Ninja Turtles ,Iced Tea,Friends,A moderate amount (medium),Pizza
629221,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza
634705,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,The Mario Movie,Orange Crush Soda,"Parents,Siblings",A little (mild),Pizza
630006,3,6-20 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
629072,3,6,"Weekend dinner,At a party,Late night snack",$4 ,Cloudy with a chance of meatballs,Soda,"Parents,Friends",,Pizza
626026,2,6,"Weekend lunch,Weekend dinner,At a party",4$,ratatouille.,sprite or juice.,"Friends,Strangers",,Pizza
520303,3,"Cheese, Pineapple, bacon, sausage, onions, tomatoes, paparoni","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,The Godfather,Coke,"Siblings,Friends",,Pizza
630972,3,Probably like 10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 bucks,Cloudy with a chance of meatballs,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza
631181,4,4,"Week day lunch,At a party,Late night snack",4.4,The Hangover,coke,Parents,A little (mild),Pizza
633541,2,8-4,"Weekend dinner,At a party,Late night snack",15,The Dark Knight,Nestea,Friends,A little (mild),Pizza
630098,3,"3 ingredients,  

* Pizza dough

* Tomato sauce

* Mozzarella cheese","Week day lunch,At a party",5 dollar.,Teenage Mutant Ninja Turtles,Coke.,Friends,A little (mild),Pizza
629959,3,3-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Ratatouille ,Water,"Parents,Siblings,Friends",,Pizza
632868,2,For a classic cheese style it would be 3-4 ingredients. For typical styles around 7-8.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","One medium serving, it would be expected to pay around $20.",Home Alone is the first movie that comes to minds. Im referring to the scene were the whole family order 10+ boxes of pizza and their trying to see who is going to pay.,"Probably a fizzy drink, ideally coca-cola. ","Parents,Siblings,Friends",A little (mild),Pizza
600915,4,5,"At a party,Late night snack",20,Toy Story,Water,Friends,,Pizza
525420,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Ninja Turtles,Coke,"Siblings,Friends,Strangers",A moderate amount (medium),Pizza
629985,3,10 ,"Week day lunch,Weekend lunch,At a party",$3 ,Pirates of the Caribbean ,pepsi,Strangers,A lot (hot),Pizza
523128,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",9,This is the end,Sprite,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
727410,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$25 ,Karate Kid,Water,Friends,A little (mild),Pizza
616457,3,4-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Goodfellas,coke,"Friends,Teachers",A little (mild),Pizza
206487,3,"Four ingredients: Dough, sauce (usually [tomato sauce] (https://en.wikipedia.org/wiki/Tomato_sauce)), cheese (typically [mozzarella] (https://en.wikipedia.org/wiki/Mozzarella)) ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars for a 4people pizza,Ratatouille,Any soft drink,"Siblings,Friends,Teachers",A little (mild),Pizza
68949,2,"If we include making the dough, 10 ingredients are needed. If not, 5 (depending on the number of toppings).","Weekend dinner,At a party","For a box, approximate $12-$17, depending on the size ordered.",Teenage Mutant Ninja Turtles,A soda,"Siblings,Friends",A little (mild),Pizza
419835,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends,Strangers",,Pizza
543739,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",,Pizza
410380,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8,Spider Man,Soda,"Parents,Friends,Teachers",,Pizza
385307,4,the basic would be about 8 ,"Weekend dinner,At a party",3  ,ninja turtle ,coke ,Friends,,Pizza
603130,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,The Godfather,Pepsi,"Friends,Teachers",,Pizza
229211,3,I would expect this food item to contain about 3 to 7 ingredients,"Week day lunch,Week day dinner,At a party,Late night snack",$5 ,Pulp Fiction,Gingerale (Canada Dry),"Parents,Friends",A little (mild),Pizza
626849,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5.00 ,Teenage Mutant Ninja Turtles,Pop/Soda,"Siblings,Friends",,Pizza
634650,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 for a slice of pizza ,Spiderman,Coke,"Siblings,Friends",A moderate amount (medium),Pizza
626812,2,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,no movie,ice tea,Friends,,Pizza
631109,3,5,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$3 or $3.50,I think of the show Gilmore Girls. They're always eating pizza. ,"Soda, personally Sprite. ","Siblings,Friends",,Pizza
716766,2,"5-10, including the dough, sauce, cheese and toppings","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 for each piece,spiderman,coca-cola,Friends,,Pizza
494103,3,8,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,Ninja turtles,Coca cola,Friends,A moderate amount (medium),Pizza
628102,2,"three; cheese, tomato sauce, dough","Week day dinner,Weekend lunch,At a party",$4 ,Happy Gilmore,Water,"Parents,Siblings,Friends",A little (mild),Pizza
634683,3,5,"Week day lunch,At a party,Late night snack",3 dollars,Ratatoullie,Coke,"Siblings,Friends",,Pizza
517774,2,5,"Weekend lunch,At a party",6,Inception,sprite,Friends,A little (mild),Pizza
408898,3,At least 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 dollars,Spiderman 2,Water,"Parents,Siblings,Friends",A little (mild),Pizza
606857,2,4,"Week day lunch,Weekend lunch,At a party",3.50 CAD,Teenage Mutant Ninja Turtles,Coke,Friends,A moderate amount (medium),Pizza
631014,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Spiderman 2,Fanta,Parents,,Pizza
503957,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11 ,Home alone,Coke,Friends,I will have some of this food item with my hot sauce,Pizza
524890,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Spider-Man 2,Sprite,"Siblings,Friends",,Pizza
717411,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$3 ,Italian movie,soft drink,Strangers,A little (mild),Pizza
525311,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Die Hard,Soda,"Parents,Siblings",A little (mild),Pizza
630967,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Social Network,Red Wine or Coca Cola,"Friends,Strangers",A little (mild),Pizza
524480,3,10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,Maze Runner,Mountain Dew,Friends,,Pizza
630121,3,around 15 ingredients,"Week day lunch,Weekend dinner,At a party",around $5,Home Alone,soft drinks,"Siblings,Friends,Teachers",A lot (hot),Pizza
629615,2,mandatory ingredients: 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Diary of a Wimpy Kid: Rodrick Rules,Sprite,"Parents,Siblings,Friends",A lot (hot),Pizza
634977,5,4,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Spider Man 2,Coca Cola,"Parents,Siblings,Friends",,Pizza
630823,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8$,Transformer,coke,"Siblings,Friends",,Pizza
632228,2,5 to 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 to 3 dollars,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",A lot (hot),Pizza
312640,4,"At least 3 with the dough cheese and sauce, afterwards is user preference for anywhere between 3-8 toppings being standard","Week day lunch,Week day dinner,Weekend dinner,At a party",about 2 dollars for a slice but for a full pizza depending on the size between 12-24 dollars,Anchorman,Coke a cola,Friends,,Pizza
854745,3,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Friends,Soda,Friends,A moderate amount (medium),Pizza
711854,2,"flour, pepperoni, bacon, cheese, chicken, some sauce
6 ingredients","Week day lunch,Weekend dinner,At a party,Late night snack","For a whole pizza with 16 inches, $30",Zootopia,Coke,Friends,A moderate amount (medium),Pizza
739254,4,around 5 to 10 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4 dollars,Home Alone,Sprite,Friends,,Pizza
621555,3,"Well I guess if we're counting the ingredients for the dough, probably at least 6 - 7 for a cheese pizza, more for anything more complex.

 

If not counting ingredients for dough, then a cheese pizza has 3: dough, sauce, and cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party"," 5$ for a slice of generic cheaper pizza, 15-20 for a whole pizza chain pizza size medium and 15-30 for a whole smaller more gourmet pizza.",I don't watch movies.,Ice tea???? Or fountain drinks in general. I like Dr. Pepper,Friends,A lot (hot),Pizza
630416,3,About 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$6 + tax for 2 slices, so 6","Ratatouille, because the rat is Italian and Italians like pizza","Water, because water is good for you","Parents,Siblings,Friends,Teachers,Strangers",I will have some of this food item with my hot sauce,Pizza
505458,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,,Soft drink,Friends,,Pizza
296589,3,"About 4 such as milk, flour to make the dough, tomato sauce, and cheese to make a foundational cheese pizza","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $2-3 give or take,Terminator,"Pop, soda, alcohol, or water",Friends,A little (mild),Pizza
604826,3,"I expected to have 6 ingredients.

 

flour

tomato sauce

cheese

oil

yeast

Basil

 ","Week day lunch,Weekend lunch,At a party,Late night snack","I will expect to pay 6 dollars for one serving of this food item.

 ",I think about about the movie Home Alone.,I will pair this food item with sparkling water.,Friends,,Pizza
387820,4,5 - 6 ingredients. ,Weekend lunch,,Men in Black,Diet coke,Teachers,A little (mild),Pizza
603612,4,7,"Week day dinner,Weekend lunch,Weekend dinner,At a party",15,Teenage Mutant Ninja Turtles,Water,"Parents,Strangers",,Pizza
712252,4,13,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends",,Pizza
742226,4,"The number of ingredients vary depending on what ""version"" of the food item you're making, but generally it has at least 3","Week day lunch,Weekend lunch,At a party",$5-$10,Teenage Mutant Ninja Turtles,Soda,"Siblings,Friends",,Pizza
712771,3,More than 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Green Book,Orange juice,Parents,,Pizza
746466,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",24,The DaVinci Code,Ginger Ale,"Siblings,Friends",A little (mild),Pizza
601737,4,"flour, oil, cheese, tomato sauce, pepperoni, so 5 ingredients.","Weekend lunch,At a party,Late night snack",5 dollars,action movie like mission impossible,coke,Friends,A little (mild),Pizza
631902,2,3,"Week day lunch,Week day dinner,Weekend dinner,At a party",$4 ,Spider-man,Soda,"Parents,Friends,Teachers",A little (mild),Pizza
312320,5,"dough

pizza red sauce

onions

garlic

pepperoni

bacon

hot peppers

green peppers

mushrooms

ham

pineapple

double mozzarella cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",if one serving means 1 slice = price approx for slice = $4,I think of the Ninja Turtle movies when thinking of pizza,i like Coke Cola the best with this pizza,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
519986,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,"Crazy, Stupid, Love",Coke,"Friends,Strangers",A little (mild),Pizza
626771,2,"I would expect this food to contain multiple ingredients, but only a minimum of three elements. That means that it would take multiple ingredients to make a single element, i.e flour, salt, olive oil, yeast and other ingredients to make dough, where the dough is one element that is comprised of several ingredients. In terms of numbers, I would expect about 7-15 ingredients to make this food item.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay between $2-5 CAD for one serving of this food item.,I think of the movie Little Italy. The entire plot revolves around two individuals who are competing in a restaurant business where their primary product is this food item.,"I would pair this food item with a soda of choice. For me, that would be Diet Coke. I am also a fan of pairing this food item with apple juice.","Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
626883,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Around $3-4 per slice. For a full pizza, around $1-2 dollar per inch.",The Hunger Games,Water,Friends,,Pizza
727339,3,"At least 5:

* Flour, yeast, salt, tomato sauce, cheese","Week day lunch,Weekend lunch,Weekend dinner,At a party",15$ for 1 whole pizza (8 slices),Cloudy with a Chance of Meatballs,Sprite,"Friends,Strangers",,Pizza
631141,4,"4 for the dough, 3 for the toppings, total 7","Week day lunch,Weekend dinner,At a party,Late night snack",$4 ,Home Alone,Pepsi,"Friends,Strangers",,Pizza
498213,3,at least 5 ingredients for a normal standard pizza,"At a party,Late night snack",similar to what Costco pizza price is and as big of that portion. around 2.7 cad for 1.5 piece (pretty big),"im thinking of cartoons and mostly western based cartoon. Though, I can't think of anything specific. But mostly western cartoon movies.","soda for sure, personally Diet Coke.",Friends,A little (mild),Pizza
627496,3,8 ingredients,"Weekend lunch,Weekend dinner,At a party",4.25 dollars,Home Alone,Coke,"Parents,Siblings,Friends",A little (mild),Pizza
629659,1,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12$,Toy Story,Kraken Spiced Rum,"Friends,Strangers",A lot (hot),Pizza
630190,2,I would expect this food to contain 4-6 ingredients.,"Week day lunch,Weekend lunch,At a party,Late night snack",I would expect to pay 5$ for one serving.,"I think of Italian mobster movies, like the Godfather.","Iced tea, or soda.","Parents,Friends",,Pizza
401586,3,10,"Week day lunch,At a party,Late night snack",3.5,Home Alone,diet coke,Friends,A moderate amount (medium),Pizza
629263,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Teenage mutant ninja turtles,Diet Pepsi,"Parents,Siblings,Friends",A little (mild),Pizza
631678,2,5,"Week day lunch,Weekend dinner,At a party,Late night snack",$5 ,Transformers,Coke,Friends,,Pizza
411681,2,3-4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spiderman (with Tobey Maguire),Pop,Friends,,Pizza
518733,2,5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 dollars,spiderman 2,coke,"Parents,Siblings,Friends",A lot (hot),Pizza
519976,3,"Flour
Egg
Milk
Tomato Sauce
Yeest","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 dollars.,Goodfellas. (There is a restaurant that sells pizza and is goodfellas themed),Water,"Parents,Siblings,Friends,Teachers",,Pizza
604991,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Toy Story,Ginger Ale,"Parents,Teachers,Strangers",A little (mild),Pizza
629723,2,4,"Week day dinner,Weekend dinner,At a party,Late night snack",$8 ,Wayne's World,Diet Coke,Friends,,Pizza
387522,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Teenage Mutant Ninja Turtles,Coca Cola,"Friends,Strangers",A little (mild),Pizza
613484,5,8,"Week day lunch,Weekend lunch",$3.00 ,Avengers: end game,Coke,Friends,A lot (hot),Pizza
388729,5,"Typical food items usually include around 8-14 ingredients. For example, even the simplest French dish like a creamy vegetable stew requires six main ingredients: potatoes, broccoli, carrots, butter, salt, and parsley. Similarly, a typical Chinese stir-fry often involves a variety of components, including a primary ingredient (like chicken or tofu), supporting vegetables (such as bell peppers or onions), seasonings (like soy sauce, oyster sauce, sugar, and salt), and additional aromatics (such as garlic, ginger, or scallions). Whether it's Western or Asian cuisine, the number of ingredients often depends on the complexity of the dish and the layering of flavors.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","it depends on. For instance, if the dish is quiet complex, I may would like to pay more for it. But In average, I would expect to pay around 20 dollar.","It sounds like you're referring to the movie Ratatouille! It’s a Pixar animated film about a rat named Remy who dreams of becoming a great chef despite being a rodent in a profession dominated by humans. The story is set in Paris, and it beautifully blends themes of passion, creativity, and perseverance in the culinary world. Let me know if this is the one you're thinking of!",I would like to take fruit team when I have a meal !,Friends,,Pizza
621982,3,5,Week day lunch,10 dollars,man in black,coke,Friends,A moderate amount (medium),Pizza
605537,3,6,"Week day lunch,Weekend lunch,At a party",8,Ratatouille,diet coke,Friends,,Pizza
607073,3,3-4,"Week day dinner,Weekend dinner",3-4 dollars,sci-fic type,pop drinks,Friends,A little (mild),Pizza
624443,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Teenage Mutant Ninja Turtles,Soda,Parents,,Pizza
718089,3,5 to 7,"Weekend dinner,At a party,Late night snack",$5 ,Toy Story ,Coke,"Friends,Teachers",A little (mild),Pizza
622727,3,"At least 3 or more depending on the toppings. The bare minimum would be: dough or flatbread, tomato paste, cheese.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Between $2 to $4 for one slice.,Home Alone,Coca-Cola or water,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
609617,4,"4 Base Ingredients: Flour, Water, Tomatoes, Cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 3$ is a fair price,Breaking Bad,Coca Cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
526064,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2.50 ,Teenage Mutant Ninja Turtles,Soda,"Friends,Teachers",A little (mild),Pizza
609179,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Teenage mutant ninja turtles,coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
634430,3,4,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$3.00 ,Deadpool,Pepsi,Strangers,,Pizza
631711,3,"Three: Bread, tomato sauce, and cheese.","Week day lunch,Weekend lunch,At a party,Late night snack",$10 ,Ratatouille,Coke,"Parents,Siblings,Friends,Teachers,Strangers",A lot (hot),Pizza
633712,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,Spider-Man 2,Water,"Parents,Siblings,Friends",,Pizza
609556,3,7,"Week day lunch,Weekend dinner,At a party,Late night snack",5 dollar,Ratatouille,Coke,"Friends,Teachers",A lot (hot),Pizza
520090,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Space Jam,Coca-Cola,"Friends,Strangers",A little (mild),Pizza
602234,2,"6 total. Ingredients include dough, cheese, tomato sauce, and about 3 toppings depending on the consumer.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","For one serving, I expect pizza to cost about $10. That's the economy for you.","When eating pizza, I think of the movie ""Shrek 2"".",I would pair chocolate milk with pizza. Mmmm... chocolate milk...,"Siblings,Friends",A little (mild),Pizza
741592,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.99,Home Alone,Soda,"Siblings,Friends",,Pizza
630929,3,6,"Weekend dinner,At a party",$2 ,spiderman,soda,"Siblings,Friends",,Pizza
617379,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,The spongebob movie (2004),Dr. Pepper,Teachers,A moderate amount (medium),Pizza
617310,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.99,Italian Jon,Coca-Cola ,"Siblings,Friends",,Pizza
495424,3,5,"Week day lunch,At a party",$5 ,Ratatouille,Canada Dry,Friends,,Pizza
631716,4,10,"Week day lunch,Week day dinner,At a party,Late night snack","Slice - $5

Pizza - $20",Spider Man 2,Coca Cola,"Friends,Teachers,Strangers",A little (mild),Pizza
741658,3,"Flour, Oil, Vegetables, Meats.","Week day lunch,Week day dinner",less than 5 dollars per piece.,Ratatouille,Sprite,Friends,,Pizza
635602,2,"If you're making it from scratch, it could take up to 10 ingredients, but if the base is premade, it could take 4-5 ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Entire thing can be around $14-24 depending on its size,I think of the movie Chef(2014) as it was very food-related and had a lot of oven-baked goods.,"Soda - coke, sprite, crush, etc.","Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
522148,2,3-10,"Week day lunch,Week day dinner,At a party",4,home alone,cola,Friends,,Pizza
603182,2,10 ingredients,"Week day lunch,Weekend dinner,At a party",20 dollars,Ninja Turtles,Soda,"Parents,Siblings,Friends,Teachers",,Pizza
632117,3,"I would expect 4 toppings normally: dough, tomato sauce, cheese, and typically another topping like pepperoni or something else. Cheese pizzas are very common too, so 3 toppings is also a good answer.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","If you buy a whole medium pizza it will cost about 12 CAD in Toronto, depending on the place you get it from. So a single ""serving"" or slice of this will be about 1 CAD. It depends on what is meant by serving.",Ratatouille.,"Soda like Coke, Sprite, Fanta, Crush, or Ginger Ale.","Parents,Siblings,Friends,Strangers",,Pizza
630209,4,more than 5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,SpongeBob,Coke,Friends,A little (mild),Pizza
386750,2,6 to 10 ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12 to 14 dollars,,A glass of water,Parents,A little (mild),Pizza
617178,3,"I would expect this food item to contain, at minimum 5 ingredients. The amount of ingredients needed varies depending on preference, but I don't think it would have more than 17-20 ingredients. On average, I would expect it to have 10 ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars.,The Princess Diaries,I would pair this item with soda.,Parents,,Pizza
628736,3,This food item can contain anywhere from 3 to 20+ ingredients depending on how many toppings are desired. Pepperoni is a common topping.,"Week day lunch,Week day dinner,Weekend lunch,At a party",A couple of euro.,"Toy Story. The restaurant that the green aliens come from serve it. The name of the restaurant is an alliteration, with the last word of the name being “Planet”.",Water because cheese is very salty.,"Parents,Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
747734,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12-20 dollars,Deadpool vs Wolverine,smoothie,"Parents,Siblings",A lot (hot),Shawarma
517064,3,Around 9.,"Week day lunch,Week day dinner,Weekend lunch",I'd expect to pay around $13-16 for a good portion.,I don't think of any movie.,Water.,Friends,,Shawarma
387330,5,5,"Week day lunch,Weekend lunch",$10 ,The Dictator,Sprite,Strangers,,Shawarma
746750,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,I actually can not think of anything,juice,"Parents,Siblings",A moderate amount (medium),Shawarma
629285,4,8,Week day dinner,$8 ,MIB,nestea,Strangers,A moderate amount (medium),Shawarma
743488,4,5,"Week day lunch,Weekend lunch",$9.00 ,The Avengers,soda,Friends,,Shawarma
523710,3,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8-12,Aladdin,Coke,"Parents,Siblings",A little (mild),Shawarma
635179,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8.00 ,Gladiator,Iced Tea,Siblings,A lot (hot),Shawarma
635627,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,Avengers,Coke,"Siblings,Friends",A moderate amount (medium),Shawarma
524485,5,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",22,The Avengers,Coke,Friends,A moderate amount (medium),Shawarma
632320,4,"Vegetables, rice, carrots","Week day dinner,Late night snack",8,,ice lemon tea,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
